player_total,dealer_card,soft,win_prob,best_move
19,10,0,0.4585,0
11,7,0,0.596,1
19,6,0,0.6885,0
21,5,1,0.894,0
7,10,0,0.2335,1
18,10,0,0.325,0
16,2,0,0.3665,0
16,10,0,0.213,0
13,5,0,0.4,0
17,4,0,0.3905,0
9,7,0,0.4885,1
18,5,0,0.5305,0
20,10,0,0.539,0
14,10,0,0.2245,1
16,11,0,0.207,0
11,8,0,0.5635,1
17,10,0,0.1935,0
13,10,0,0.238,1
19,4,0,0.652,0
20,7,0,0.8505,0
13,11,0,0.202,1
17,9,0,0.2125,0
17,11,0,0.1905,0
16,10,0,0.2165,0
11,9,0,0.516,1
18,2,0,0.4885,0
13,10,0,0.2415,1
13,7,0,0.3335,1
19,10,1,0.435,0
12,7,0,0.3395,1
14,10,0,0.2195,1
18,2,0,0.4825,0
13,10,0,0.2135,0
15,11,0,0.199,0
14,10,0,0.2105,1
16,11,0,0.192,0
12,7,0,0.319,1
9,4,0,0.5185,1
13,11,0,0.2015,0
7,5,0,0.4305,1
9,11,0,0.298,1
21,5,1,0.892,0
18,9,0,0.3425,0
18,5,0,0.5355,0
12,2,0,0.362,0
13,10,1,0.3055,1
19,2,1,0.6115,0
20,2,0,0.744,0
13,10,0,0.227,1
18,9,0,0.3405,0
5,8,0,0.2385,1
18,9,0,0.354,0
12,8,0,0.307,1
10,10,0,0.4085,1
21,10,1,0.8895,0
16,8,0,0.2545,0
11,7,0,0.5965,1
21,4,1,0.889,0
11,6,0,0.6435,1
14,10,0,0.2225,1
18,10,1,0.347,1
15,4,0,0.4105,0
12,9,0,0.267,1
16,10,0,0.2065,0
12,10,0,0.2715,1
8,10,0,0.253,1
12,10,0,0.2415,1
12,10,0,0.2375,1
21,4,1,0.876,0
13,7,1,0.4265,1
17,11,0,0.2025,0
13,4,0,0.3835,0
16,3,0,0.3785,0
12,5,0,0.4205,0
16,11,0,0.1985,0
18,7,0,0.609,0
20,2,1,0.753,0
12,10,0,0.2605,1
19,11,0,0.385,0
13,9,0,0.2525,1
12,11,0,0.2225,1
14,10,0,0.216,1
8,4,0,0.4505,1
18,9,0,0.368,0
18,7,0,0.6095,0
13,5,0,0.432,0
13,10,0,0.241,1
20,3,0,0.771,0
8,10,0,0.2525,1
15,10,0,0.211,0
20,4,0,0.791,0
16,10,0,0.208,0
10,10,0,0.399,1
7,10,0,0.2245,1
15,10,0,0.222,0
6,4,0,0.411,1
5,9,0,0.237,0
12,4,0,0.3875,0
21,11,1,0.6465,0
12,6,0,0.4445,0
11,11,0,0.39,1
20,11,1,0.534,0
15,6,0,0.4255,0
20,10,0,0.5615,0
8,10,0,0.255,1
4,6,0,0.4525,0
13,11,0,0.205,0
12,11,0,0.217,1
16,10,0,0.212,0
11,11,0,0.37,1
17,11,0,0.194,0
13,2,0,0.3595,0
9,4,0,0.5255,1
18,8,0,0.36,0
17,6,0,0.45,0
18,4,1,0.54,0
16,10,0,0.1965,1
14,10,0,0.213,1
14,4,0,0.384,0
9,10,0,0.315,1
9,3,0,0.487,1
18,3,0,0.5105,0
16,6,0,0.432,0
5,8,0,0.239,1
10,10,0,0.391,1
18,11,0,0.2555,0
20,5,0,0.7625,0
15,9,0,0.2295,0
15,11,1,0.274,1
12,5,0,0.408,0
10,6,0,0.6015,1
17,4,0,0.4035,0
19,10,0,0.449,0
15,6,0,0.4435,0
11,5,0,0.629,1
15,10,0,0.2085,0
11,9,0,0.534,1
18,9,0,0.3455,0
15,3,0,0.3865,0
18,6,0,0.551,0
9,9,0,0.351,1
11,8,0,0.545,1
13,10,0,0.2405,1
8,3,0,0.445,1
17,3,0,0.354,0
15,11,0,0.223,0
14,10,1,0.3025,1
15,8,0,0.253,1
7,3,0,0.3885,0
14,2,0,0.3555,0
17,10,0,0.1965,0
16,10,0,0.2155,0
16,8,1,0.385,1
12,4,0,0.4075,0
12,4,0,0.41,0
13,5,0,0.431,0
17,10,0,0.212,0
21,11,1,0.663,0
11,11,0,0.38,1
21,8,1,0.931,0
12,5,0,0.4165,0
12,9,0,0.274,1
16,9,0,0.2295,0
7,10,0,0.2255,0
8,11,0,0.227,1
8,2,0,0.416,1
20,10,0,0.5375,0
16,11,0,0.221,0
8,2,0,0.4145,1
9,10,0,0.299,1
15,7,1,0.4345,1
21,10,1,0.885,0
12,10,0,0.2535,1
8,7,0,0.4145,1
18,4,0,0.523,0
17,10,1,0.322,1
13,7,0,0.3165,1
5,6,0,0.4565,1
12,7,0,0.3465,1
17,9,0,0.2275,0
14,3,0,0.3805,0
18,2,0,0.4885,0
10,7,0,0.5525,1
12,10,0,0.2455,1
11,11,0,0.368,1
15,6,0,0.4505,0
17,11,0,0.213,0
9,5,0,0.5245,1
7,10,0,0.2285,1
20,5,0,0.787,0
14,10,0,0.2145,1
